companyName,streetNumber,streetName,city,state,zip,phoneNumber,latitude,longitude,mondayHours,tuesdayHours,wednesdayHours,thursdayHours,fridayHours,saturdayHours,sundayHours
Mt. Airy Bicycle Company,4540,Old National Pike,Mt. Airy,MD,21771,3018315151,39.3593468,-77.1607721,10am-6pm,10am-6pm,10am-6pm,10am-6pm,10am-6pm,10am-5pm,Closed
Lutherville Bikes,2133,Greenspring Drive,Lutherville-Timonium,MD,21093,4105838734,39.4404986,-76.6319167,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-5pm,Cloased
Patapsco Bicycles,5,North Main Street,Mt. Airy,MD,21771,3018295604,39.376771,-77.153592,11am-7pm,11am-7pm,11am-7pm,11am-7pm,11am-7pm,9am-5pm,11am-3pm
Bike Doctor Bel Air,2108,Emmorton Road,Bel Air,MD,21015,4105698833,39.4984846,-76.3265515,11am-7pm,11am-7pm,11am-7pm,11am-7pm,11am-7pm,10am-5pm,11am-5pm
The Bicycle Escape,7820,Wormans Mill Road,Frederick,MD,21701,3016630007,39.4456515,-77.3967729,10am-6pm,10am-6pm,10am-6pm,10am-6pm,10am-6pm,10am-6pm,Closed
Crofton Bike Doctor,2616A,Chapel Lake Drive,Gambrills,MD,21054,4104516901,39.038823,-76.681408,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-6pm,11am-5pm
All American Bicycle Center,26039,Ridge Rd,Damascus,MD,20872,3012535800,39.284574,-77.207686,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-6pm,Closed
Takoma Bicycle,7030,Carroll Avenue,Takoma Park,MD,20912,3012700202,38.9752926,-77.0115772,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-4pm,10am-4pm
Just Riding Along Bicycle Shop,6828,Olney Laytonsville Road,Laytonsville,MD,20882,3019631273,39.2035068,-77.1399968,Closed,8am-5pm,8am-5pm,8am-5pm,8am-5pm,10am-4pm,Closed
Family Bike Shop,1286,MD-3,Crofton,MD,21114,4107218244,39.0082231,-76.6992878,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-5pm,12pm-5pm
John's Bicycle Repair LLC,413,S Highland Ave,Baltimore,MD,21224,4439345760,39.2871196,-76.5687922,12pm-8pm,12pm-8pm,12pm-8pm,12pm-8pm,12pm-8pm,10:30am-8pm,10:30am-5pm
Big Wheel Bikes,6917,Arlington Road,Bethesda,MD,20814,3016520192,38.9783835,-77.0984416,11am-7pm,11am-7pm,11am-7pm,11am-7pm,11am-7pm,10am-6pm,10am-6pm
Wheel Base Bikes,229,N. Market Street,Frederick,MD,21701,3016639288,39.417392,-77.410769,10am-6pm,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-6pm,12pm-4pm
Germantown Cycles Bicycle Shop,12615-B,Wisteria Dr,Germantown,MD,20874,2404040695,39.171119,-77.260746,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-5pm,Closed
Proteus Bicycles,9217,Baltimore Avenue,College Park,MD,20740,3014412928,39.0063866,-76.9294428,11am-7pm,11am-7pm,11am-7pm,11am-7pm,11am-7pm,10am-6pm,12pm-6pm
Pedal Pushers Bicycle Shop,546,Baltimore Annapolis Blvd,Severna Park,MD,21146,4105442323,39.073091,-76.5475008,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-5pm,11am-5pm
Bicycle Place,9168,Brookville Rd,Silver Spring,MD,20910,3015886160,39.0062184,-77.0495428,Closed,11am-7pm,11am-7pm,11am-7pm,11am-7pm,10am-6pm,11am-3pm
Cockeysville Schwinn,435,York Rd,Cockeysville,MD,201230,4106671040,39.4002762,-76.6026864,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-5pm,11am-3pm
Laurel Bicycle Center,14805,Baltimore Ave,Laurel,MD,20707,3019531223,39.0933542,-76.854754,10am-6pm,10am-6pm,10am-6pm,10am-6pm,10am-6pm,10am-5pm,Closed
